gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
412103855	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1938-09-21T00:00:00Z	21	9	1938	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225535-0				CC_BY_4_0		Gillett, M.C.			2018-12-21T12:05:44.101Z		
412103854	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1834-11-30T00:00:00Z	30	11	1834	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225534-0				CC_BY_4_0		Drege,			2018-12-21T12:05:44.052Z		
412103737	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862													6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225321-0				CC_BY_4_0		Ecklon,			2018-12-21T12:05:44.041Z		RECORDED_DATE_INVALID
412103736	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1921-09-30T00:00:00Z	30	9	1921	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225320-0				CC_BY_4_0		Page, M.M.			2018-12-21T12:05:43.994Z		
412103735	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1918-08-31T00:00:00Z	31	8	1918	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225319-0				CC_BY_4_0		Marloth,			2018-12-21T12:05:43.985Z		
412103734	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1942-09-18T00:00:00Z	18	9	1942	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225318-0				CC_BY_4_0		Compton, R.H.			2018-12-21T12:05:43.977Z		
412103733	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1938-09-01T00:00:00Z	1	9	1938	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225317-0				CC_BY_4_0		Acocks, J.P.H.; Hafstrom, A.H.F.			2018-12-21T12:05:44.310Z		
412103732	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1949-09-10T00:00:00Z	10	9	1949	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225315-0				CC_BY_4_0		Wilman, A.M.			2018-12-21T12:05:43.970Z		
412103731	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1945-10-08T00:00:00Z	8	10	1945	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225314-0				CC_BY_4_0		Wasserfall, E.			2018-12-21T12:05:44.294Z		
412103730	9d7fc836-8588-408a-bcc0-c22360bf4a24		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ursinia	Ursinia anthemoides	anthemoides	SUBSPECIES	Ursinia anthemoides subsp. anthemoides	ZA	Not available	c5f7ef70-e233-11d9-a4d6-b8a03c50a862									1930-08-31T00:00:00Z	31	8	1930	6293852	3089033	PRESERVED_SPECIMEN	SANBI	PRECIS	PRE0225313-0				CC_BY_4_0		Lavis, M.G.			2018-12-21T12:05:44.273Z		
